Year,Count
1985,11.5
1986,12.7
1987,13.9
1988,15.3
1989,16.9
1990,18.6
1991,19.4
1992,19.4
1993,20.5
1994,22
1995,22.5
1996,23
1997,24
1998,25.5
1999,27.5
2000,30.1
2001,33.2
2002,33.5
2003,33.2
2004,33.5
2005,34.2
2006,36
2007,38.5
2008,41.2
2009,41.2
2010,40.8
2011,41.3
2012,42
2013,42.3
2014,43.1
2015,43.9
2016,45
2017,46.2
2018,47.5
2019,49.2
2020,49.9
2021,51.2
2022,53
2023,54.8
